gene_ko,RNA_ID,Monomer_ID,Process,KO_index
pgpC,EG11371_RNA,EG11371-MONOMER,Metabolism,1329
tadA,EG11372_RNA,EG11372-MONOMER,Metabolism,1330
folK,EG11374_RNA,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,Metabolism,1332
folE,EG11375_RNA,GTP-CYCLOHYDRO-I-MONOMER,Metabolism,1333
plsC,EG11377_RNA,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,Metabolism,1335
appB,EG11379_RNA,APPB-MONOMER,Metabolism,1337
appC,EG11380_RNA,APPC-MONOMER,Metabolism,1338
elbB,EG11383_RNA,EG11383-MONOMER,Metabolism,1340
ahpC,EG11384_RNA,EG11384-MONOMER,Metabolism,1341
ahpF,EG11385_RNA,EG11385-MONOMER,Metabolism,1342
nhaB,EG11392_RNA,NHAB-MONOMER,Metabolism,1348
dsbB,EG11393_RNA,DSBBPROT-MONOMER,Metabolism,1349
ubiD,EG11396_RNA,EG11396-MONOMER,Metabolism,1352
treC,EG11402_RNA,TRE6PHYDRO-MONOMER,Metabolism,1357
ychF,EG11404_RNA,EG11404-MONOMER,Metabolism,1359
cydD,EG11405_RNA,CYDD-MONOMER,Metabolism,1360
ribC,EG11406_RNA,RIBOFLAVIN-SYN-MONOMER,Metabolism,1361
dadA,EG11407_RNA,DALADEHYDROGA-MONOMER,Metabolism,1362
dadX,EG11408_RNA,ALARACECAT-MONOMER,Metabolism,1363
lpxK,EG11409_RNA,TETRAACYLDISACC4KIN-MONOMER,Metabolism,1364
glnD,EG11411_RNA,GLND-MONOMER,Metabolism,1366
nrdD,EG11417_RNA,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER,Metabolism,1371
dcd,EG11418_RNA,DCTP-DEAM-MONOMER,Metabolism,1372
bcr,EG11419_RNA,BCR-MONOMER,Metabolism,1373
waaU,EG11423_RNA,EG11423-MONOMER,Metabolism,1376
waaL,EG11424_RNA,EG11424-MONOMER,Metabolism,1377
waaY,EG11425_RNA,EG11425-MONOMER,Metabolism,1378
waaZ,EG11426_RNA,EG11426-MONOMER,Metabolism,1379
tktA,EG11427_RNA,TRANSKETOI-MONOMER,Metabolism,1380
sthA,EG11428_RNA,UDHA-MONOMER,Metabolism,1381
roxA,EG11430_RNA,EG11430-MONOMER,Metabolism,1383
msrA,EG11433_RNA,EG11433-MONOMER,Metabolism,1386
ahr,EG11436_RNA,EG11436-MONOMER,Metabolism,1389
plsX,EG11437_RNA,EG11437-MONOMER,Metabolism,1390
yceF,EG11438_RNA,EG11438-MONOMER,Metabolism,1391
emrB,EG11439_RNA,EMRB-MONOMER,Metabolism,1392
def,EG11440_RNA,EG11440-MONOMER,Metabolism,1393
gcvT,EG11442_RNA,GCVT-MONOMER,Metabolism,1395
rpiA,EG11443_RNA,RIB5PISOMA-MONOMER,Metabolism,1396
scpA,EG11444_RNA,METHYLMALONYL-COA-MUT-MONOMER,Metabolism,1397
argK,EG11445_RNA,EG11445-MONOMER,Metabolism,1398
acs,EG11448_RNA,ACS-MONOMER,Metabolism,1400
wecB,EG11451_RNA,UDPGLCNACEPIM-MONOMER,Metabolism,1403
wecC,EG11452_RNA,UDPMANNACADEHYDROG-MONOMER,Metabolism,1404
rffG,EG11453_RNA,DTDPGLUCDEHYDRAT2-MONOMER,Metabolism,1405
rffH,EG11454_RNA,DTDPGLUCOSEPP2-MONOMER,Metabolism,1406
rffC,EG11455_RNA,TDPFUCACTRANS-MONOMER,Metabolism,1407
wecE,EG11456_RNA,RFFTRANS-MONOMER,Metabolism,1408
rffM,EG11458_RNA,UDPMANACATRANS-MONOMER,Metabolism,1410
corA,EG11463_RNA,CORA-MONOMER,Metabolism,1414
rhtC,EG11468_RNA,RHTC-MONOMER,Metabolism,1419
